method,time,true_y,lower_bound,upper_bound,violation
CP+LS,100,0.393421,0.24245991339934056,0.5046938876098169,False
CP+LS,101,0.421053,0.2309574050967838,0.49100785710808925,False
CP+LS,102,0.473684,0.27382790821491404,0.5376795797649119,False
CP+LS,103,0.475,0.3129180330294819,0.5702640769627806,False
CP+LS,104,0.43114,0.31471989243770127,0.5718247696104979,False
CP+LS,105,0.450439,0.28239132092541075,0.5408125985704895,False
CP+LS,106,0.444737,0.2510512242063831,0.5113270527395951,False
CP+LS,107,0.464474,0.23285242724410943,0.49104618191304567,False
CP+LS,108,0.361842,-0.026521557656455752,0.2766282583904733,True
CP+LS,109,0.363596,0.1078207929480702,0.38535135571509993,False
CP+LS,110,0.380702,0.09270480008735446,0.36802446201029554,True
CP+LS,111,0.420175,0.12030152972914519,0.3911438443269368,True
CP+LS,112,0.369298,0.11036271764735149,0.38551767648915947,False
CP+LS,113,0.360088,0.06237890039888359,0.3402545578405205,True
CP+LS,114,0.372368,0.16107548946531952,0.4524689842209471,False
CP+LS,115,0.433772,0.22251961337632317,0.5085975101117879,False
CP+LS,116,0.396053,0.19188045041371624,0.47570593763495705,False
CP+LS,117,0.353947,0.1904176469118267,0.4715424672267223,False
CP+LS,118,0.375877,0.164812358465258,0.4474940081030866,False
CP+LS,119,0.368421,0.16863715263741627,0.44733784400778387,False
CP+LS,120,0.567105,0.5320392404309261,0.8126815556628078,False
CP+LS,121,0.577632,0.5221481434396408,0.80585235155713,False
CP+LS,122,0.570614,0.4651445961239456,0.7500417780856621,False
CP+LS,123,0.568421,0.4307101002329015,0.7110416273217826,False
CP+LS,124,0.527193,0.3995559389052566,0.6820215133994434,False
CP+LS,125,0.569737,0.3764459792638863,0.6603324226600608,False
CP+LS,126,0.742544,0.5575617499915277,0.8502914971742048,False
CP+LS,127,0.704825,0.5802854546862157,0.8681565645965413,False
CP+LS,128,0.683333,0.5565039425551435,0.841847983528378,False
CP+LS,129,0.693421,0.5239839313036356,0.812996271364567,False
CP+LS,130,0.736842,0.493534459327696,0.7756052108223942,False
CP+LS,131,0.726316,0.4629670349495248,0.7417208959894694,False
CP+LS,132,0.47193,0.4666365478822036,0.7540026912654347,False
CP+LS,133,0.399123,0.3507248259484374,0.6532925567483752,False
CP+LS,134,0.302632,0.3418274447383642,0.6222863422195601,True
CP+LS,135,0.335088,0.27973893986076565,0.5678802959132727,False
CP+LS,136,0.257895,0.14473971324133814,0.4607452930442777,False
CP+LS,137,0.304386,0.049379092468467264,0.38430233435348166,False
CP+LS,138,0.476754,0.4222832575315501,0.7020222241372929,False
CP+LS,139,0.517982,0.653613293652568,1.272900431022594,True
CP+LS,140,0.426754,0.416556118188485,0.6891773816329017,False
CP+LS,141,0.389035,0.40595179508092855,0.6867545015362897,True
CP+LS,142,0.439912,0.3779160233143532,0.6576389369992138,False
CP+LS,143,0.427632,0.37200266766493756,0.6527204237648319,False
CP+LS,144,0.400877,0.41616354339759287,0.6974008866546304,True
CP+LS,145,0.413596,0.44539533096971257,0.7337093006342879,True
CP+LS,146,0.393421,0.43074166782400036,0.7269593373757126,True
CP+LS,147,0.50307,0.4076822360070189,0.7163473109254449,False
CP+LS,148,0.42193,0.3518778290677159,0.6587013066832491,False
CP+LS,149,0.457895,0.32313565865298766,0.6250135421104677,False
CP+LS,150,0.457018,0.45772157915235057,0.7538135517117222,True
CP+LS,151,0.421491,0.4750818414564062,0.7728345065649449,True
CP+LS,152,0.393421,0.41628233498900596,0.7226521584192097,True
CP+LS,153,0.430263,0.3573670834209458,0.6694212541968634,False
CP+LS,154,0.434649,0.29992182228795466,0.6102663238399662,False
CP+LS,155,0.456579,0.2621712306844377,0.5723813161025345,False
CP+LS,156,0.474561,0.4478363476904226,0.7622892391770478,False
CP+LS,157,0.567982,0.4539608735162334,0.7711115550989449,False
CP+LS,158,0.582895,0.40818267482836373,0.722385104533808,False
CP+LS,159,0.596053,0.36390444147540696,0.6766349364404256,False
CP+LS,160,0.548246,0.34064797798730084,0.6499602199110521,False
CP+LS,161,0.538596,0.32965668026447253,0.6365694846687627,False
CP+LS,162,0.598246,0.4160024497035904,0.7240267420949618,False
CP+LS,163,0.6,0.4157362712918633,0.7205257482952847,False
CP+LS,164,0.59386,0.3803482205165721,0.6871053957389281,False
CP+LS,165,0.592544,0.31410199554202384,0.6187731893689029,False
CP+LS,166,0.622368,0.26776148707329933,0.566788017877037,True
CP+LS,167,0.639474,0.2256750465399888,0.5276659131888404,True
CP+LS,168,0.765789,0.5642836966290579,0.8880047826693723,False
CP+LS,169,0.765789,0.5624417436679746,0.8842602707148192,False
CP+LS,170,0.765789,0.5257269931926565,0.8406289856188566,False
CP+LS,171,0.756579,0.4526746398487348,0.7586992288291652,False
CP+LS,172,0.590351,0.5568572605491751,1.2839917267350343,False
CP+LS,173,0.590351,0.45274170995195856,0.9180301764031945,False
CP+LS,174,0.673246,0.5768269145813809,0.8887506544970663,False
CP+LS,175,0.646053,0.609428058654584,0.9254376914939605,False
CP+LS,176,0.640351,0.5630580552694333,0.8772619586081346,False
CP+LS,177,0.678947,0.5018813326972521,0.812741898290274,False
CP+LS,178,0.679825,0.42233938700786156,0.7293118809383236,False
CP+LS,179,0.713596,0.36207425916152947,0.6659484486118586,True
CP+LS,180,0.294737,0.46682344903830936,0.7697703264147076,True
CP+LS,181,0.341228,0.46832397393157793,0.7713196191473336,True
CP+LS,182,0.329825,0.4332605832451595,0.763082425174265,True
CP+LS,183,0.322807,0.3366382669933089,0.6734493198900771,True
CP+LS,184,0.325,0.2742216796152584,0.6148927720501234,False
CP+LS,185,0.321491,0.24368767902145294,0.5855042972003331,False
CP+LS,186,0.328947,0.4016829762480969,0.7452054537867717,True
CP+LS,187,0.332456,0.40943869584805304,0.7470636242018548,True
CP+LS,188,0.396491,0.35406530911783946,0.698042264435645,False
CP+LS,189,0.373246,0.33767273691475214,0.6722550708366052,False
CP+LS,190,0.342982,0.29160617173755987,0.6258171930927899,False
CP+LS,191,0.280263,0.26656615821729657,0.6001953009475108,False
CP+LS,192,0.432018,0.4108943345341661,0.742309974151684,False
CP+LS,193,0.389474,0.4881746451106841,0.8315011600234723,True
CP+LS,194,0.402632,0.37322512911844935,0.7061173897351237,False
CP+LS,195,0.35307,0.34304491404319726,0.6830195839588593,False
CP+LS,196,0.355702,0.29125559220905095,0.6293449749145684,False
CP+LS,197,0.370175,0.275545522762579,0.6088777754784762,False
CP+LS,198,0.407895,0.4542497402483833,0.790569333411132,True
CP+LS,199,0.424561,0.4846906297533962,0.8291093174416697,True
CP+LS,200,0.414035,0.44217123766487565,0.7902627253637907,True
CP+LS,201,0.40614,0.3799072548248645,0.7420732796191043,False
CP+LS,202,0.372807,0.3569892740386833,0.7369106210360645,False
CP+LS,203,0.342982,0.32468335599680104,0.6909924993475646,False
CP+LS,204,0.522807,0.40886745213472253,0.7761420115956278,False
CP+LS,205,0.557895,0.3974776464330605,0.777597513356318,False
